,0
0,1989.6077880859375
1,1919.313720703125
2,1850.40478515625
3,1782.7568359375
4,1716.252197265625
5,1650.791259765625
6,1586.3133544921875
7,1522.7860107421875
8,1460.1907958984375
9,1398.523681640625
10,1337.797119140625
11,1278.039794921875
12,1219.301025390625
13,1161.6495361328125
14,1105.173095703125
15,1049.9786376953125
16,996.1903076171875
17,943.9470825195312
18,893.4002075195312
19,844.7080688476562
20,798.03125
21,753.5252685546875
22,711.3318481445312
23,671.5697631835938
24,634.3236694335938
25,599.6336669921875
26,567.4852905273438
27,537.8029174804688
28,510.4454650878906
29,485.2092590332031
30,461.83563232421875
31,440.02484130859375
32,419.4555969238281
33,399.8074951171875
34,380.78448486328125
35,362.13092041015625
36,343.6509094238281
37,325.21771240234375
38,306.7772521972656
39,288.33251953125
40,269.9610290527344
41,251.78033447265625
42,233.9332275390625
43,216.58111572265625
44,199.87071228027344
45,183.92945861816406
46,168.865234375
47,154.74502563476562
48,141.6080322265625
49,129.45297241210938
50,118.25559997558594
51,107.96357727050781
52,98.51858520507812
53,89.83985137939453
54,81.8655776977539
55,74.51256561279297
56,67.73430633544922
57,61.47553253173828
58,55.715293884277344
59,50.42738723754883
60,45.615196228027344
61,38.87851333618164
62,25.546539306640625
63,21.29559898376465
64,18.18768310546875
65,15.045441627502441
66,11.809656143188477
67,8.603644371032715
68,5.8733229637146
69,4.687346935272217
70,3.8089029788970947
71,3.195887804031372
72,2.818225383758545
73,2.6563596725463867
74,2.5132107734680176
75,2.590080738067627
76,2.871673107147217
77,2.8846521377563477
78,3.3639333248138428
79,3.3080594539642334
80,3.5474703311920166
81,3.908439874649048
82,4.072127342224121
83,4.1343464851379395
84,4.261170864105225
85,4.3419270515441895
86,4.348321914672852
87,4.373080253601074
88,4.409231662750244
89,4.2504563331604
90,4.1721696853637695
91,4.104008197784424
92,3.8778347969055176
93,3.740527391433716
94,3.602562189102173
95,3.4641616344451904
96,3.3268704414367676
97,3.1996963024139404
98,3.0767130851745605
99,2.958369493484497
100,2.847601890563965
101,2.7473573684692383
102,2.6560535430908203
103,2.581052541732788
104,2.516461133956909
105,2.4595108032226562
106,2.4124112129211426
107,2.3846728801727295
108,2.359694004058838
109,2.3445792198181152
110,2.3328394889831543
111,2.369067668914795
112,2.3533172607421875
113,2.3429625034332275
114,2.359358072280884
115,2.3750362396240234
116,2.3769171237945557
117,2.384840488433838
118,2.391153573989868
119,2.3906779289245605
120,2.3904969692230225
121,2.387367010116577
122,2.385026693344116
123,2.376988410949707
124,2.368525505065918
125,2.3642258644104004
126,2.3508524894714355
127,2.336120843887329
128,2.324187755584717
129,2.3162665367126465
130,2.3179259300231934
131,2.3083858489990234
132,2.297947645187378
133,2.293329954147339
134,2.2933428287506104
135,2.2893290519714355
136,2.287360906600952
137,2.2841362953186035
138,2.281458854675293
139,2.2779452800750732
140,2.27807879447937
141,2.2750298976898193
142,2.2711522579193115
143,2.2709991931915283
144,2.2716503143310547
145,2.2706923484802246
146,2.269284725189209
147,2.2679522037506104
148,2.269918918609619
149,2.2710039615631104
150,2.2710213661193848
151,2.2700204849243164
152,2.2681264877319336
153,2.2655811309814453
154,2.2645840644836426
155,2.26587176322937
156,2.264878273010254
157,2.2644283771514893
158,2.26296329498291
159,2.26053524017334
160,2.261451244354248
161,2.2619595527648926
162,2.261798143386841
163,2.260964870452881
164,2.2596418857574463
165,2.258150815963745
166,2.256856679916382
167,2.256035089492798
168,2.2556848526000977
169,2.255769968032837
170,2.2561984062194824
171,2.2567455768585205
172,2.256092071533203
173,2.2560312747955322
174,2.2555956840515137
175,2.2548601627349854
176,2.2540078163146973
177,2.2531919479370117
178,2.2535698413848877
179,2.2522521018981934
180,2.252164125442505
181,2.2505970001220703
182,2.250676155090332
183,2.2506465911865234
184,2.248831033706665
185,2.24841046333313
186,2.247833490371704
187,2.2471702098846436
188,2.2465147972106934
189,2.24595046043396
190,2.2455151081085205
191,2.2452144622802734
192,2.2450270652770996
193,2.244903564453125
194,2.24476957321167
195,2.2429540157318115
196,2.2426469326019287
197,2.242218255996704
198,2.2417078018188477
199,2.241157293319702
200,2.240622043609619
201,2.2401540279388428
202,2.238136053085327
203,2.2378292083740234
204,2.236593008041382
205,2.2347018718719482
206,2.2344040870666504
207,2.2340292930603027
208,2.2335903644561768
209,2.233112335205078
210,2.2326302528381348
211,2.232187271118164
212,2.231809139251709
213,2.2314863204956055
214,2.231208562850952
215,2.2309327125549316
216,2.2306313514709473
217,2.2302846908569336
218,2.229898452758789
219,2.2294933795928955
220,2.2290992736816406
221,2.2287328243255615
222,2.2284069061279297
223,2.2281131744384766
224,2.227832555770874
225,2.2275524139404297
226,2.2272391319274902
227,2.226895809173584
228,2.2265260219573975
229,2.2261404991149902
230,2.2257590293884277
231,2.225397825241089
232,2.223409414291382
233,2.2230777740478516
234,2.2227532863616943
235,2.222419500350952
236,2.2220520973205566
237,2.2216637134552
238,2.2212629318237305
239,2.220853805541992
240,2.2204575538635254
241,2.2200798988342285
242,2.219712018966675
243,2.219346761703491
244,2.218966007232666
245,2.218568801879883
246,2.2181520462036133
247,2.2177329063415527
248,2.2173311710357666
249,2.21693754196167
250,2.2165560722351074
251,2.216181516647339
252,2.2157950401306152
253,2.2154009342193604
254,2.2149956226348877
255,2.214585542678833
256,2.214186191558838
257,2.2137997150421143
258,2.213402509689331
259,2.2130072116851807
260,2.2126076221466064
261,2.2122015953063965
262,2.2117855548858643
263,2.2113800048828125
264,2.210975170135498
265,2.210578441619873
266,2.21018385887146
267,2.2097833156585693
268,2.209378480911255
269,2.2089781761169434
270,2.208573818206787
271,2.2081708908081055
272,2.2077770233154297
273,2.2040929794311523
274,2.203695058822632
275,2.2032976150512695
276,2.2029001712799072
277,2.2025034427642822
278,2.2021002769470215
279,2.201704740524292
280,2.2013099193573
281,2.2009122371673584
282,2.2005109786987305
283,2.20011305809021
284,2.199716329574585
285,2.199315071105957
286,2.197892904281616
287,2.19748854637146
288,2.1970889568328857
289,2.1950292587280273
290,2.1946277618408203
291,2.194227695465088
292,2.1938297748565674
293,2.1934213638305664
294,2.1930274963378906
295,2.192621946334839
296,2.1922249794006348
297,2.19181752204895
298,2.1913938522338867
299,2.1909823417663574
300,2.1905641555786133
301,2.1901469230651855
302,2.1897339820861816
303,2.189316511154175
304,2.1889004707336426
305,2.1884825229644775
306,2.18806791305542
307,2.187657117843628
308,2.1872398853302
309,2.186824083328247
310,2.1864092350006104
311,2.185994863510132
312,2.185579776763916
313,2.1851634979248047
314,2.184749126434326
315,2.1843466758728027
316,2.1839349269866943
317,2.1835274696350098
318,2.1831202507019043
319,2.181678295135498
320,2.1812632083892822
321,2.180852174758911
322,2.180438280105591
323,2.1800308227539062
324,2.179624557495117
325,2.1792187690734863
326,2.17880916595459
327,2.1783976554870605
328,2.1779842376708984
329,2.177574396133423
330,2.1771645545959473
331,2.1767570972442627
332,2.1763510704040527
333,2.1759283542633057
334,2.1755008697509766
335,2.1750752925872803
336,2.1746585369110107
337,2.174243688583374
338,2.1738264560699463
339,2.1717758178710938
340,2.171348810195923
341,2.169268846511841
342,2.1688430309295654
343,2.1684176921844482
344,2.1680023670196533
345,2.1642446517944336
346,2.163822650909424
347,2.163395881652832
348,2.1629745960235596
349,2.1625452041625977
350,2.1621315479278564
351,2.161717176437378
352,2.1613006591796875
353,2.1608798503875732
354,2.160449743270874
355,2.1583235263824463
356,2.1578967571258545
357,2.157473087310791
358,2.157054901123047
359,2.15664005279541
360,2.1562137603759766
361,2.155784845352173
362,2.1553573608398438
363,2.15492844581604
364,2.154505968093872
365,2.152373790740967
366,2.151949167251587
367,2.151519298553467
368,2.1510941982269287
369,2.1506664752960205
370,2.1502411365509033
371,2.1498098373413086
372,2.1493821144104004
373,2.148952007293701
374,2.148512363433838
375,2.1480774879455566
376,2.147639274597168
377,2.147198438644409
378,2.146761417388916
379,2.1463239192962646
380,2.1458873748779297
381,2.1454505920410156
382,2.145024538040161
383,2.1445915699005127
384,2.1441550254821777
385,2.14371919631958
386,2.143279552459717
387,2.142845869064331
388,2.1424050331115723
389,2.141963481903076
390,2.1415274143218994
391,2.141097068786621
392,2.140665054321289
393,2.1402246952056885
394,2.1397955417633057
395,2.1393654346466064
396,2.138941764831543
397,2.138514518737793
398,2.13639760017395
399,2.1359705924987793
400,2.1355390548706055
401,2.1351137161254883
402,2.134688138961792
403,2.132558584213257
404,2.1321370601654053
405,2.1317038536071777
406,2.1312782764434814
407,2.1308438777923584
408,2.130415678024292
409,2.1299915313720703
410,2.1295595169067383
411,2.129127025604248
412,2.1286892890930176
413,2.12825345993042
414,2.127824306488037
415,2.127389907836914
416,2.126967430114746
417,2.1265370845794678
418,2.1261098384857178
419,2.1256794929504395
420,2.1252503395080566
421,2.1237375736236572
422,2.1233112812042236
423,2.1228888034820557
424,2.122464418411255
425,2.1220381259918213
426,2.1216139793395996
427,2.121190071105957
428,2.120763063430786
429,2.118640661239624
430,2.118211507797241
431,2.117777109146118
432,2.117349147796631
433,2.116929769515991
434,2.1165060997009277
435,2.1160857677459717
436,2.115659236907959
437,2.115234851837158
438,2.114809513092041
439,2.114379644393921
440,2.1139538288116455
441,2.113521099090576
442,2.1130824089050293
443,2.1126480102539062
444,2.112210988998413
445,2.111771821975708
446,2.1113362312316895
447,2.110894203186035
448,2.110459804534912
449,2.110025405883789
450,2.1095921993255615
451,2.1091597080230713
452,2.108733654022217
453,2.1082992553710938
454,2.1078684329986572
455,2.1074366569519043
456,2.107006311416626
457,2.106579542160034
458,2.1061484813690186
459,2.1057212352752686
460,2.105293035507202
461,2.10486102104187
462,2.10443115234375
463,2.104001998901367
464,2.103569984436035
465,2.1014585494995117
466,2.1010241508483887
467,2.1005873680114746
468,2.100162982940674
469,2.099735975265503
470,2.0976128578186035
471,2.0971755981445312
472,2.0967392921447754
473,2.094585657119751
474,2.0941548347473145
475,2.0937256813049316
476,2.091564893722534
477,2.091132879257202
478,2.0906922817230225
479,2.0902554988861084
480,2.0898282527923584
481,2.089397430419922
482,2.0889737606048584
483,2.086778163909912
484,2.0863258838653564
485,2.0858724117279053
486,2.0854320526123047
487,2.084993600845337
488,2.084552526473999
489,2.0840988159179688
490,2.081883192062378
491,2.081425905227661
492,2.080976963043213
493,2.0805447101593018
494,2.0801124572753906
495,2.079676866531372
496,2.0792410373687744
497,2.078801393508911
498,2.0783681869506836
499,2.077939748764038
500,2.077518939971924
501,2.077101707458496
502,2.07667875289917
503,2.076240301132202
504,2.075793504714966
505,2.075354814529419
506,2.0749218463897705
507,2.0727343559265137
508,2.0723042488098145
509,2.0718722343444824
510,2.0702922344207764
511,2.0680785179138184
512,2.067638397216797
513,2.0672075748443604
514,2.0667810440063477
515,2.0663630962371826
516,2.065941095352173
517,2.065513849258423
518,2.065080165863037
519,2.0646560192108154
520,2.0642364025115967
521,2.063817262649536
522,2.0633909702301025
523,2.062960624694824
524,2.062533378601074
525,2.062105894088745
526,2.0616776943206787
527,2.0612564086914062
528,2.0608365535736084
529,2.060410737991333
530,2.0599780082702637
531,2.059551954269409
532,2.059129238128662
533,2.058708429336548
534,2.058290481567383
535,2.0578529834747314
536,2.0574135780334473
537,2.0569751262664795
538,2.0565414428710938
539,2.0561060905456543
540,2.0556766986846924
541,2.0552425384521484
542,2.0548088550567627
