,value,name
0,0.001351515964417814,k
1,0.0022904743305044166,k
2,0.0007508074235429545,k
3,0.002368978410388176,k
4,0.0006334287734471964,G
5,0.00047900722995124456,G
6,0.0013368086952468268,G
7,0.0022923299127749045,G
8,0.0015896422571198075,B
9,0.001191602318269727,B
10,0.0008876063171507987,B
11,0.004073455658366837,B
12,0.0008591806945113583,q
13,0.001375494571038195,q
14,0.002517405657665202,q
15,0.0025555776154553033,q
16,0.001866902010157734,$\mu_H$
17,0.0010200251890346778,$\mu_H$
18,0.003234571865187225,$\mu_H$
19,0.0010248227215445983,$\mu_H$
